id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
110958,212871,DeFi Land,NULL,2022-02-01 00:00:00.000,5,NULL,NULL,NULL,100.0000,6
192267,11085,Age of Wonders III: Eternal Lords,NULL,2015-04-14 00:00:00.000,1,NULL,NULL,NULL,100.0000,5
194521,153577,Discover My Body,NULL,2020-03-08 00:00:00.000,NULL,NULL,NULL,NULL,100.0000,5
161241,204350,The Last of Us Part I,"Twenty years after a mutated fungus started turning people all over the world into deadly zombies, humans become an endangered species. Joel, a Texan in his forties with the ""emotional range of a teaspoon"" (to quote Hermione from Harry Potter), finds himself responsible with the safety of a fourteen year old girl named Ellie whom he must smuggle to a militia group called the Fireflies. And as if the infected aren't enough of a hassle, they also have to deal with the authorities who wouldn't let them leave the quarantine zone, as well as other survivors capable of killing anyone who might have something useful in their backpacks.",2022-09-01 00:00:00.000,9,7,88.2857,11,99.8424,10
27509,20196,Metal Gear Solid: The Legacy Collection,NULL,2013-07-09 00:00:00.000,17,NULL,87.0000,3,99.6845,29
182371,72327,Streets of Rage Remake,NULL,2011-04-21 00:00:00.000,1,1,NULL,NULL,99.6343,10
34201,11226,Anstoss 3,NULL,2000-06-01 00:00:00.000,2,NULL,NULL,NULL,99.5786,8
51535,51267,Umineko: When They Cry Chiru,NULL,2009-09-15 00:00:00.000,1,NULL,NULL,NULL,99.5224,15
172053,5951,NBA Live 07,NULL,2006-09-25 00:00:00.000,3,NULL,51.2500,4,99.5010,18
184478,21073,Metal Gear Solid: Snake Eater 3D,NULL,2012-02-21 00:00:00.000,5,NULL,74.3333,7,99.3101,11
184992,7881,ESPN NFL 2K5,NULL,2004-07-20 00:00:00.000,5,NULL,91.5000,3,99.3097,15
172547,54220,Persona Q2: New Cinema Labyrinth,NULL,2018-11-29 00:00:00.000,4,3,79.2500,10,99.0955,10
184066,138851,Not In The Groove,NULL,2011-03-01 00:00:00.000,10,1,NULL,NULL,99.0338,14
1238,3637,Wetrix,NULL,1998-11-27 00:00:00.000,2,NULL,68.0000,1,99.0153,9
161116,21874,Tears To Tiara II: Heir Of The Overlord,NULL,2013-10-31 00:00:00.000,3,NULL,65.0000,3,98.8966,8
113423,74878,Hitman: Game of the Year Edition,NULL,2017-11-07 00:00:00.000,6,NULL,NULL,NULL,98.8599,20
14034,22439,The Witcher 3: Wild Hunt - Game of the Year Edition,"In the town of White Orchard, Geralt reunites with his long lost lover, Yennefer. She informs Geralt that Emperor Emhyr has summoned him to the city of Vizima. There, Emhyr tasks Geralt with finding Ciri, who has been recently spotted in various locations. Ciri is a Child of the Elder Blood, the last heir to an ancient Elven bloodline that bestows her with the power to manipulate space and time.

Geralt first follows clues that Ciri was in Velen at Crow's Perch, the fort of the Bloody Baron. The Baron refuses to help, but Geralt's acquaintance, sorceress Keira Metz, informs him that an Elven mage, Avallac'h, was searching for Ciri. Keira directs Geralt to the Crones of Crookback Bog, malicious, ancient spirits residing near Velen. The Crones reveal that they had captured Ciri for the Wild Hunt before she escaped, and that they have enslaved the Baron's missing wife, Anna. After determining Anna's fate, Geralt returns to the Baron who tells him that Ciri went to Novigrad.

Arriving in Novigrad, Geralt discovers that the Church of the Eternal Fire, a militant religious organization, is purging mages in the city. Rendezvousing with his former lover, Triss Merigold, Geralt learns that Ciri had contacted his friend Dandelion. Geralt navigates Novigrad's criminal underworld to rescue Dandelion, and discovers that Ciri teleported to the Skellige archipelago. While in Novigrad, Geralt may assist Triss in liberating fugitive mages.

After sailing to Skellige, Geralt reunites with Yennefer, who has been investigating a magical explosion linked to Ciri. The pair track Ciri's movements to the island of Lofoten and learn the Wild Hunt have attacked it. Following clues, they realise that Uma, a deformed, cursed creature at Crow's Perch, was present following Ciri's escape. Before leaving Skellige, Geralt can help determine who will become the leader of Skellige following the king's death. Yennefer chooses to sever the magical bond that draws her and Geralt together, giving him the option to willingly affirm his love for her or end their relationship.

The pair recover Uma to the abandoned witcher school of Kaer Morhen where Yennefer successfully removes Uma's curse, transforming him into Avallac'h. He reveals that he teleported Ciri to the Isle of Mists to save her from the Lofoten attack. Geralt travels to the Isle and finds Ciri in a deathlike state until she is awakened by Avallac'h's magic. Ciri reveals that the King of the Wild Hunt, Eredin's homeworld is being destroyed by a plight known as the White Frost, and he wants Ciri's power in order to conquer the Continent. Ciri and Geralt teleport to Kaer Morhen pursued by the Wild Hunt. After a brief reunion with Yennefer, Triss, and their witcher mentor Vesemir, the Hunt attacks. Vesemir is killed protecting Ciri and her distress causes her to uncontrollably unleash her Elder power leading Eredin and the Hunt to retreat. Geralt, Yennefer, Triss, Ciri, and their allies then hold a funeral for Vesemir.

Ciri and Geralt travel to Novigrad and help Triss and Yennefer reform the Lodge of Sorceresses to aid in their fight. They also learn about the Sunstone, a relic that can lure Eredin out and bind him to a location. On the Skelligan isle of Undvik, Avallac'h uses the Sunstone to draw out the Hunt and their fleet. Geralt, Ciri, their allies and the Nilfgaardian fleet battle the Hunt, before Geralt faces Eredin in combat and emerges victorious. As the White Frost descends on Skellige, Ciri insists that she must confront it with her Elder Blood before it consumes all life on every world. Ciri enters a portal and defeats the White Frost, ending the threat.

The ending varies depending on choices made throughout the game. If Ciri is alive, Geralt can retire with either Yennefer or Triss, or remain a lone Witcher. If Geralt helps Nilfgaard win the war and took Ciri to meet the emperor, she will become Empress, believing it the best way to positively affect the world; if Ciri doesn't meet the Emperor, Geralt fakes her death and she becomes a Witcher. If Ciri dies fighting the White Frost, Geralt hunts down her stolen medallion as a keepsake, but is surrounded by monsters upon its discovery, leaving his fate ambiguous.",2016-08-29 00:00:00.000,204,NULL,NULL,NULL,98.7554,427
194942,11631,HIVESWAP: Act 1,NULL,2017-09-14 00:00:00.000,11,8,75.0000,1,98.6370,12
185895,12151,Kindred Spirits on the Roof,NULL,2016-02-12 00:00:00.000,4,NULL,NULL,NULL,98.4944,6
186199,43036,Monkey Island Special Edition Collection,NULL,2011-10-09 00:00:00.000,3,NULL,NULL,NULL,98.4757,9
62002,136770,DDraceNetwork,NULL,2020-08-17 00:00:00.000,2,NULL,NULL,NULL,98.4000,6
185932,143215,Super Danganronpa Another 2 ~The Moon of Hope and Sun of Despair~,NULL,2020-01-10 00:00:00.000,NULL,NULL,NULL,NULL,98.3673,5
133371,7595,Creeper World,NULL,2007-07-07 00:00:00.000,4,NULL,NULL,NULL,98.2905,9
189194,44545,Dragon Age: Inquisition - Game of the Year Edition,NULL,2015-10-06 00:00:00.000,5,NULL,NULL,NULL,98.2090,15
