id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
485,40126,GHOSTLOP,NULL,2004-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21672,171257,Perils of Poom,"You need money fast so what'd you do? Well, you end up getting a job which involves going round the galaxy in search of a rare (illegal) drug for a large cash reward, of course.

With 4 different planets to visit, a short bonus section to unlock at the end, and..er.. probably some other attributes.",2004-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
52505,140099,Smugglers 3,NULL,2004-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87291,199054,SpinOff,NULL,2004-01-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
117701,149004,Your Riding School,NULL,2004-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144662,84234,Heart de Roommate,NULL,2004-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
152629,186145,The Stone of Anamara: First Chapter,While escaping from the police you arrive at a sinister building that appears to be the perfect hiding place.,2004-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
165491,188147,"Baba-Yaga. Pojdi tuda, ne znayu kuda",NULL,2004-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
167767,93434,Dino and Aliens,NULL,2004-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76264,49526,Bouken Yuuki Pluster World: Densetsu no Pluster Gate EX,NULL,2004-01-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121547,50911,Rebel Trucker: Cajun Blood Money,NULL,2004-01-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
97063,49556,Cinnamoroll Koko ni Ruyo,NULL,2004-01-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106893,49563,Gakuen Senki Muryou,NULL,2004-01-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
161093,185840,Love Hina Sim Date RPG,NULL,2004-01-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56705,53336,Medieval: Total War - Battle Collection,NULL,2004-01-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
